Timestamp_ET,Breathing_Lpm
2026-03-11 23:14:46.000,34.92
2026-03-11 23:14:46.640,-55.2
2026-03-11 23:14:47.280,-6.24
2026-03-11 23:14:47.920,-8.64
2026-03-11 23:14:48.560,5.16
2026-03-11 23:14:49.200,19.44
2026-03-11 23:14:49.840,42.6
2026-03-11 23:14:50.480,28.32
2026-03-11 23:14:51.120,-33.24
2026-03-11 23:14:51.760,-10.32
2026-03-11 23:14:52.400,3.36
2026-03-11 23:14:53.040,39.36
2026-03-11 23:14:53.680,37.56
2026-03-11 23:14:54.320,23.88
2026-03-11 23:14:54.960,-51
2026-03-11 23:14:55.600,-34.68
2026-03-11 23:14:56.240,-5.76
2026-03-11 23:14:56.880,-15.48
2026-03-11 23:14:57.520,-10.68
2026-03-11 23:14:58.160,22.68
2026-03-11 23:14:58.800,39.24
2026-03-11 23:14:59.440,31.44
2026-03-11 23:15:00.080,23.88
2026-03-11 23:15:00.720,7.32
2026-03-11 23:15:01.360,-41.64
2026-03-11 23:15:02.000,-32.88
2026-03-11 23:15:02.640,-19.44
2026-03-11 23:15:03.280,-5.88
2026-03-11 23:15:03.920,-0.36
2026-03-11 23:15:04.560,7.56
2026-03-11 23:15:05.200,13.2
2026-03-11 23:15:05.840,-3.72
2026-03-11 23:15:06.480,-3.24
2026-03-11 23:15:07.120,-1.68
2026-03-11 23:15:07.760,-2.16
2026-03-11 23:15:08.400,6.84
2026-03-11 23:15:09.040,11.52
2026-03-11 23:15:09.680,17.28
2026-03-11 23:15:10.320,11.16
2026-03-11 23:15:10.960,-21.24
2026-03-11 23:15:11.600,-7.56
2026-03-11 23:15:12.240,5.28
2026-03-11 23:15:12.880,18.36
2026-03-11 23:15:13.520,29.52
2026-03-11 23:15:14.160,25.08
2026-03-11 23:15:14.800,-37.08
2026-03-11 23:15:15.440,-25.68
2026-03-11 23:15:16.080,-9
2026-03-11 23:15:16.720,-3.24
2026-03-11 23:15:17.360,-0.84
2026-03-11 23:15:18.000,-1.56
2026-03-11 23:15:18.640,2.76
2026-03-11 23:15:19.280,7.92
2026-03-11 23:15:19.920,-6.24
2026-03-11 23:15:20.560,-2.88
2026-03-11 23:15:21.200,1.08
2026-03-11 23:15:21.840,-0.84
2026-03-11 23:15:22.480,15.84
2026-03-11 23:15:23.120,18.24
2026-03-11 23:15:23.760,-18.36
2026-03-11 23:15:24.400,-13.56
2026-03-11 23:15:25.040,-3.24
2026-03-11 23:15:25.680,-2.4
2026-03-11 23:15:26.320,0
2026-03-11 23:15:26.960,8.16
2026-03-11 23:15:27.600,22.08
2026-03-11 23:15:28.240,3.6
2026-03-11 23:15:28.880,-19.8
2026-03-11 23:15:29.520,-7.44
2026-03-11 23:15:30.160,-0.72
2026-03-11 23:15:30.800,30.12
2026-03-11 23:15:31.440,38.28
2026-03-11 23:15:32.080,33
2026-03-11 23:15:32.720,-52.2
2026-03-11 23:15:33.360,-44.4
2026-03-11 23:15:34.000,-18.72
2026-03-11 23:15:34.640,-5.88
2026-03-11 23:15:35.280,29.76
2026-03-11 23:15:35.920,35.52
2026-03-11 23:15:36.560,21.48
2026-03-11 23:15:37.200,-47.52
2026-03-11 23:15:37.840,-31.92
2026-03-11 23:15:38.480,-11.4
2026-03-11 23:15:39.120,-2.64
2026-03-11 23:15:39.760,12.96
2026-03-11 23:15:40.400,10.56
2026-03-11 23:15:41.040,-15.84
2026-03-11 23:15:41.680,-4.2
2026-03-11 23:15:42.320,-0.72
2026-03-11 23:15:42.960,0.36
2026-03-11 23:15:43.600,3.48
2026-03-11 23:15:44.240,11.64
2026-03-11 23:15:44.880,20.64
2026-03-11 23:15:45.520,-20.76
2026-03-11 23:15:46.160,-5.04
2026-03-11 23:15:46.800,-1.08
2026-03-11 23:15:47.440,-2.4
2026-03-11 23:15:48.080,0.96
2026-03-11 23:15:48.720,-0.12
2026-03-11 23:15:49.360,4.2
2026-03-11 23:15:50.000,-4.08
2026-03-11 23:15:50.640,3.96
2026-03-11 23:15:51.280,-3
2026-03-11 23:15:51.920,3.96
2026-03-11 23:15:52.560,14.64
2026-03-11 23:15:53.200,14.4
2026-03-11 23:15:53.840,-14.88
2026-03-11 23:15:54.480,-6.24
2026-03-11 23:15:55.120,-2.28
2026-03-11 23:15:55.760,-1.68
2026-03-11 23:15:56.400,1.92
2026-03-11 23:15:57.040,6
2026-03-11 23:15:57.680,15.24
2026-03-11 23:15:58.320,-19.2
2026-03-11 23:15:58.960,-6.6
2026-03-11 23:15:59.600,-2.64
2026-03-11 23:16:00.240,0.24
2026-03-11 23:16:00.880,8.52
2026-03-11 23:16:01.520,17.52
2026-03-11 23:16:02.160,0.48
2026-03-11 23:16:02.800,-18.36
2026-03-11 23:16:03.440,-6.36
2026-03-11 23:16:04.080,-1.56
2026-03-11 23:16:04.720,13.8
2026-03-11 23:16:05.360,21.24
2026-03-11 23:16:06.000,27.96
2026-03-11 23:16:06.640,-34.92
2026-03-11 23:16:07.280,-15.84
2026-03-11 23:16:07.920,-6
2026-03-11 23:16:08.560,10.44
2026-03-11 23:16:09.200,20.88
2026-03-11 23:16:09.840,27.48
2026-03-11 23:16:10.480,-39.48
2026-03-11 23:16:11.120,-23.52
2026-03-11 23:16:11.760,-9.72
2026-03-11 23:16:12.400,-0.84
2026-03-11 23:16:13.040,15.48
2026-03-11 23:16:13.680,20.4
2026-03-11 23:16:14.320,1.56
2026-03-11 23:16:14.960,-25.68
2026-03-11 23:16:15.600,-9.36
2026-03-11 23:16:16.240,-2.28
2026-03-11 23:16:16.880,11.16
2026-03-11 23:16:17.520,16.8
2026-03-11 23:16:18.160,-17.4
2026-03-11 23:16:18.800,-14.28
2026-03-11 23:16:19.440,-3.12
2026-03-11 23:16:20.080,8.04
2026-03-11 23:16:20.720,17.28
2026-03-11 23:16:21.360,7.44
2026-03-11 23:16:22.000,-14.52
2026-03-11 23:16:22.640,-7.56
2026-03-11 23:16:23.280,-0.24
2026-03-11 23:16:23.920,9.6
2026-03-11 23:16:24.560,11.04
2026-03-11 23:16:25.200,6.24
2026-03-11 23:16:25.840,-14.64
2026-03-11 23:16:26.480,-5.76
2026-03-11 23:16:27.120,-0.6
2026-03-11 23:16:27.760,13.32
2026-03-11 23:16:28.400,12.96
2026-03-11 23:16:29.040,-18.6
2026-03-11 23:16:29.680,-8.16
2026-03-11 23:16:30.320,-1.2
2026-03-11 23:16:30.960,-0.72
