Timestamp_ET,FlowLimit
2026-03-24 20:23:12.000,0
2026-03-24 20:34:02.000,0.03
2026-03-24 20:34:08.000,0.04
2026-03-24 20:34:14.000,0
2026-03-24 20:42:52.000,0.06
2026-03-24 20:43:04.000,0
2026-03-24 20:43:12.000,0.02
2026-03-24 20:43:26.000,0
2026-03-24 20:44:18.000,0.02
2026-03-24 20:44:28.000,0
2026-03-24 20:45:28.000,0.06
2026-03-24 20:45:40.000,0
2026-03-24 20:46:24.000,0.03
2026-03-24 20:46:38.000,0
2026-03-24 20:49:48.000,0.01
2026-03-24 20:49:58.000,0
2026-03-24 20:50:04.000,0.03
2026-03-24 20:50:20.000,0
2026-03-24 21:00:16.000,0.02
2026-03-24 21:00:28.000,0
2026-03-24 21:02:30.000,0.01
2026-03-24 21:02:40.000,0
2026-03-24 21:04:14.000,0.04
2026-03-24 21:04:26.000,0
2026-03-24 21:13:58.000,0.04
2026-03-24 21:14:06.000,0.07
2026-03-24 21:14:08.000,0.03
2026-03-24 21:14:16.000,0
2026-03-24 21:15:22.000,0.04
2026-03-24 21:15:34.000,0
2026-03-24 21:18:40.000,0.02
2026-03-24 21:19:04.000,0
2026-03-24 21:19:18.000,0.01
2026-03-24 21:19:46.000,0.07
2026-03-24 21:19:52.000,0.06
2026-03-24 21:19:56.000,0
2026-03-24 21:23:02.000,0.01
2026-03-24 21:23:06.000,0.02
2026-03-24 21:23:10.000,0.06
2026-03-24 21:23:12.000,0.07
2026-03-24 21:23:18.000,0.03
2026-03-24 21:23:22.000,0
2026-03-24 21:26:36.000,0.14
2026-03-24 21:26:46.000,0
2026-03-24 21:28:28.000,0.13
2026-03-24 21:28:40.000,0
2026-03-24 21:29:46.000,0.06
2026-03-24 21:29:52.000,0.08
2026-03-24 21:29:56.000,0.01
2026-03-24 21:30:04.000,0
2026-03-24 21:32:16.000,0.01
2026-03-24 21:32:28.000,0
2026-03-24 21:32:46.000,0.02
2026-03-24 21:32:54.000,0.08
2026-03-24 21:32:58.000,0.05
2026-03-24 21:33:06.000,0.08
2026-03-24 21:33:08.000,0.09
2026-03-24 21:33:12.000,0.1
2026-03-24 21:33:16.000,0.03
2026-03-24 21:33:20.000,0.04
2026-03-24 21:33:28.000,0.05
2026-03-24 21:33:36.000,0.04
2026-03-24 21:33:40.000,0.02
2026-03-24 21:33:44.000,0
2026-03-24 21:36:42.000,0.03
2026-03-24 21:36:50.000,0.02
2026-03-24 21:36:54.000,0
2026-03-24 21:37:10.000,0.06
2026-03-24 21:37:22.000,0
2026-03-24 21:38:58.000,0.02
2026-03-24 21:39:04.000,0.04
2026-03-24 21:39:08.000,0.06
2026-03-24 21:39:12.000,0.03
2026-03-24 21:39:16.000,0.02
2026-03-24 21:39:18.000,0
2026-03-24 21:39:52.000,0.01
2026-03-24 21:39:56.000,0.08
2026-03-24 21:40:00.000,0.1
2026-03-24 21:40:06.000,0.09
2026-03-24 21:40:10.000,0.02
2026-03-24 21:40:14.000,0
2026-03-24 21:42:52.000,0.04
2026-03-24 21:43:04.000,0
2026-03-24 21:43:20.000,0.01
2026-03-24 21:43:24.000,0.05
2026-03-24 21:43:28.000,0.08
2026-03-24 21:43:32.000,0.07
2026-03-24 21:43:40.000,0.09
2026-03-24 21:43:44.000,0.05
2026-03-24 21:43:52.000,0
2026-03-24 21:43:58.000,0.02
2026-03-24 21:44:12.000,0
2026-03-24 21:45:58.000,0.04
2026-03-24 21:46:06.000,0.06
2026-03-24 21:46:10.000,0.02
2026-03-24 21:46:16.000,0
2026-03-24 21:47:06.000,0.03
2026-03-24 21:47:16.000,0
2026-03-24 21:50:16.000,0.04
2026-03-24 21:50:28.000,0
2026-03-24 21:51:34.000,0.01
2026-03-24 21:51:44.000,0
2026-03-24 21:51:56.000,0.01
2026-03-24 21:52:06.000,0
2026-03-24 21:52:16.000,0.05
2026-03-24 21:52:28.000,0
2026-03-24 21:53:30.000,0.01
2026-03-24 21:53:40.000,0
2026-03-24 21:54:50.000,0.01
2026-03-24 21:55:02.000,0
2026-03-24 21:55:18.000,0.02
2026-03-24 21:55:28.000,0
2026-03-24 21:55:32.000,0.01
2026-03-24 21:55:44.000,0
2026-03-24 21:56:44.000,0.05
2026-03-24 21:56:48.000,0.06
2026-03-24 21:56:56.000,0.01
2026-03-24 21:57:00.000,0
2026-03-24 21:58:04.000,0.03
2026-03-24 21:58:16.000,0
2026-03-24 21:58:52.000,0.02
2026-03-24 21:58:56.000,0.07
2026-03-24 21:59:04.000,0.04
2026-03-24 21:59:08.000,0
2026-03-24 21:59:18.000,0.02
2026-03-24 21:59:26.000,0.03
2026-03-24 21:59:30.000,0.01
2026-03-24 21:59:36.000,0.06
2026-03-24 21:59:40.000,0.08
2026-03-24 21:59:44.000,0.1
2026-03-24 21:59:48.000,0.04
2026-03-24 21:59:52.000,0.02
2026-03-24 21:59:56.000,0
2026-03-24 22:01:00.000,0.01
2026-03-24 22:01:14.000,0.04
2026-03-24 22:01:22.000,0.03
2026-03-24 22:01:26.000,0
2026-03-24 22:01:46.000,0.01
2026-03-24 22:02:00.000,0
2026-03-24 22:02:20.000,0.01
2026-03-24 22:02:26.000,0.05
2026-03-24 22:02:30.000,0.03
2026-03-24 22:02:38.000,0
2026-03-24 22:03:58.000,0.02
2026-03-24 22:04:02.000,0.05
2026-03-24 22:04:10.000,0.03
2026-03-24 22:04:14.000,0
2026-03-24 22:05:56.000,0.01
2026-03-24 22:06:08.000,0.07
2026-03-24 22:06:14.000,0.12
2026-03-24 22:06:18.000,0.17
2026-03-24 22:06:24.000,0.11
2026-03-24 22:06:28.000,0
2026-03-24 22:06:40.000,0.09
2026-03-24 22:06:48.000,0.13
2026-03-24 22:06:52.000,0.04
2026-03-24 22:06:58.000,0.02
2026-03-24 22:07:06.000,0.12
2026-03-24 22:07:10.000,0.09
2026-03-24 22:07:14.000,0.15
2026-03-24 22:07:18.000,0.1
2026-03-24 22:07:26.000,0.03
2026-03-24 22:07:30.000,0
2026-03-24 22:07:36.000,0.15
2026-03-24 22:07:54.000,0
2026-03-24 22:08:18.000,0.11
2026-03-24 22:08:22.000,0.31
2026-03-24 22:08:26.000,0.19
2026-03-24 22:08:30.000,0.07
2026-03-24 22:08:34.000,0.18
2026-03-24 22:08:38.000,0.21
2026-03-24 22:08:42.000,0.24
2026-03-24 22:08:46.000,0.16
2026-03-24 22:08:50.000,0.15
2026-03-24 22:08:54.000,0.1
2026-03-24 22:08:58.000,0.23
2026-03-24 22:09:02.000,0.28
2026-03-24 22:09:06.000,0.27
2026-03-24 22:09:10.000,0.14
2026-03-24 22:09:14.000,0.24
2026-03-24 22:09:18.000,0.29
2026-03-24 22:09:22.000,0.6
2026-03-24 22:09:24.000,0.5
2026-03-24 22:09:28.000,0.52
2026-03-24 22:09:32.000,0.4
2026-03-24 22:09:36.000,0.44
2026-03-24 22:09:38.000,0.45
2026-03-24 22:09:42.000,0.34
2026-03-24 22:09:46.000,0.29
2026-03-24 22:09:50.000,0.24
2026-03-24 22:09:54.000,0.2
2026-03-24 22:09:58.000,0.15
2026-03-24 22:10:02.000,0.07
2026-03-24 22:10:08.000,0
2026-03-24 22:10:16.000,0.07
2026-03-24 22:10:20.000,0.12
2026-03-24 22:10:28.000,0.05
2026-03-24 22:10:32.000,0
