Timestamp_ET,Snore
2026-04-02 21:19:51.000,0
2026-04-02 21:34:15.000,0.02
2026-04-02 21:34:19.000,0
2026-04-02 21:47:29.000,0.02
2026-04-02 21:47:33.000,0
2026-04-02 21:49:39.000,0.04
2026-04-02 21:49:41.000,0
2026-04-02 21:52:23.000,0.02
2026-04-02 21:52:27.000,0
2026-04-02 21:57:35.000,0.04
2026-04-02 21:57:39.000,0
2026-04-02 22:05:29.000,0.04
2026-04-02 22:05:33.000,0
2026-04-02 22:55:45.000,0.16
2026-04-02 22:55:49.000,0
2026-04-03 00:02:35.000,0.08
2026-04-03 00:02:39.000,0
2026-04-03 01:49:59.000,0.02
2026-04-03 01:50:03.000,0
2026-04-03 02:10:21.000,0.12
2026-04-03 02:10:25.000,0
2026-04-03 02:56:15.000,0.02
2026-04-03 02:56:19.000,0
2026-04-03 07:00:15.000,0.04
2026-04-03 07:00:21.000,0
2026-04-03 07:20:51.000,0
