date,timestamp_ms,datetime_utc,data_type,value
2026-04-16,1776397460000,2026-04-17 03:44:20.000,Pressure_Pressure,10.6
2026-04-16,1776408850000,2026-04-17 06:54:10.000,Pressure_Pressure,10.6
2026-04-16,1776409077000,2026-04-17 06:57:57.000,Pressure_Pressure,10.6
2026-04-16,1776425687000,2026-04-17 11:34:47.000,Pressure_Pressure,10.6
2026-04-16,1776397460000,2026-04-17 03:44:20.000,Pressure_EPAP,7.6
2026-04-16,1776408850000,2026-04-17 06:54:10.000,Pressure_EPAP,7.6
2026-04-16,1776409077000,2026-04-17 06:57:57.000,Pressure_EPAP,7.6
2026-04-16,1776425687000,2026-04-17 11:34:47.000,Pressure_EPAP,7.6
2026-04-16,1776397450000,2026-04-17 03:44:10.000,Breathing,23.76
2026-04-16,1776397450640,2026-04-17 03:44:10.640,Breathing,25.44
2026-04-16,1776397451280,2026-04-17 03:44:11.280,Breathing,8.52
2026-04-16,1776397451920,2026-04-17 03:44:11.920,Breathing,-13.08
2026-04-16,1776397452560,2026-04-17 03:44:12.560,Breathing,-21.24
2026-04-16,1776397453200,2026-04-17 03:44:13.200,Breathing,-13.32
2026-04-16,1776397453840,2026-04-17 03:44:13.840,Breathing,-11.16
2026-04-16,1776397454480,2026-04-17 03:44:14.480,Breathing,24.24
2026-04-16,1776397455120,2026-04-17 03:44:15.120,Breathing,21.84
2026-04-16,1776397455760,2026-04-17 03:44:15.760,Breathing,19.92
2026-04-16,1776397456400,2026-04-17 03:44:16.400,Breathing,-12.12
2026-04-16,1776397457040,2026-04-17 03:44:17.040,Breathing,-22.68
2026-04-16,1776397457680,2026-04-17 03:44:17.680,Breathing,-22.32
2026-04-16,1776397458320,2026-04-17 03:44:18.320,Breathing,-14.28
2026-04-16,1776397458960,2026-04-17 03:44:18.960,Breathing,4.68
2026-04-16,1776397459600,2026-04-17 03:44:19.600,Breathing,17.88
2026-04-16,1776397460240,2026-04-17 03:44:20.240,Breathing,19.68
2026-04-16,1776397460880,2026-04-17 03:44:20.880,Breathing,17.16
2026-04-16,1776397461520,2026-04-17 03:44:21.520,Breathing,-15.36
2026-04-16,1776397462160,2026-04-17 03:44:22.160,Breathing,-24.24
2026-04-16,1776397462800,2026-04-17 03:44:22.800,Breathing,-16.68
2026-04-16,1776397463440,2026-04-17 03:44:23.440,Breathing,-9.0
2026-04-16,1776397464080,2026-04-17 03:44:24.080,Breathing,14.64
2026-04-16,1776397464720,2026-04-17 03:44:24.720,Breathing,19.2
2026-04-16,1776397465360,2026-04-17 03:44:25.360,Breathing,17.64
2026-04-16,1776397466000,2026-04-17 03:44:26.000,Breathing,12.36
